episode,timestep,reward
1,450,-6.2539
3,900,-1.9575
5,1350,-1.9575
7,1800,-1.9575
9,2250,-1.9575
11,2700,-1.9575
13,3150,-1.9575
15,3600,-1.9575
17,4050,-1.9575
19,4500,-1.9575
21,4950,-1.9575
23,5400,-1.9575
25,5850,-1.9575
27,6300,-1.9575
29,6750,-1.9575
31,7200,-1.9575
33,7650,-1.9575
35,8100,-1.9575
37,8550,-1.9575
39,9000,-1.9575
41,9450,-1.9575
43,9900,-1.9575
45,10350,-1.9575
47,10800,-2.6011
49,11250,-2.968
51,11700,-2.7749
53,12150,-2.1016
55,12600,-1.9683
57,13050,-1.9825
59,13500,-1.9604
61,13950,-1.9604
63,14400,-2.0691
65,14850,-2.1884
67,15300,-1.9575
69,15750,-1.9575
71,16200,-1.9575
73,16650,-1.9575
75,17100,-1.9575
77,17550,-1.9575
79,18000,-1.9575
81,18450,-1.9575
83,18900,-1.9575
85,19350,-1.9575
87,19800,-1.9575
89,20250,-1.9575
91,20700,-1.9575
93,21150,-1.9575
95,21600,-1.9575
97,22050,-1.9575
99,22500,-1.9575
101,22950,-1.9575
103,23400,-1.9575
105,23850,-1.9575
107,24300,-1.9575
109,24750,-1.9575
111,25200,-1.9575
113,25650,-2.4657
115,26100,-2.1227
117,26550,-1.9575
119,27000,-1.9647
121,27450,-1.9575
123,27900,-2.1531
125,28350,-1.958
127,28800,-1.9575
129,29250,-1.9575
131,29700,-1.9575
133,30150,-1.9575
135,30600,-1.9575
137,31050,-1.9575
139,31500,-1.9575
141,31950,-1.9575
143,32400,-1.9575
145,32850,-1.9575
147,33300,-1.9575
149,33750,-1.9575
151,34200,-1.9575
153,34650,-1.9575
155,35100,-1.9575
157,35550,-1.9575
159,36000,-2.2354
161,36450,-2.2
163,36900,-1.9737
165,37350,-1.9923
167,37800,-1.9575
169,38250,-2.5263
171,38700,-1.9601
173,39150,-1.9676
175,39600,-1.9611
177,40050,-2.3022
179,40500,-2.5341
181,40950,-2.1502
183,41400,-1.9941
185,41850,-2.2278
187,42300,-2.433
189,42750,-2.1219
191,43200,-1.9989
193,43650,-2.3154
195,44100,-2.0283
197,44550,-1.9575
199,45000,-2.1879
201,45450,-1.9604
203,45900,-2.3084
205,46350,-1.9908
207,46800,-1.9575
209,47250,-1.9575
211,47700,-1.9917
213,48150,-1.9575
215,48600,-1.9575
217,49050,-2.2906
219,49500,-1.9604
221,49950,-1.9575
223,50400,-1.9575
225,50850,-1.9575
227,51300,-1.9575
229,51750,-1.9575
231,52200,-1.9575
233,52650,-1.9575
235,53100,-1.9575
237,53550,-1.9575
239,54000,-1.9575
241,54450,-1.9575
243,54900,-1.9575
245,55350,-1.9575
247,55800,-1.9575
249,56250,-1.9575
251,56700,-1.9575
253,57150,-1.9575
255,57600,-1.9575
257,58050,-1.9575
259,58500,-1.9575
261,58950,-1.9575
263,59400,-1.9575
265,59850,-2.4598
267,60300,-1.9575
269,60750,-1.9575
271,61200,-2.1199
273,61650,-1.9593
275,62100,-1.9575
277,62550,-2.1083
279,63000,-1.9575
281,63450,-1.9575
283,63900,-1.9575
285,64350,-2.1322
287,64800,-1.9604
289,65250,-1.9575
291,65700,-1.9575
293,66150,-1.9575
295,66600,-1.9575
297,67050,-1.9575
299,67500,-1.9575
301,67950,-1.9575
303,68400,-1.9575
305,68850,-2.0539
307,69300,-1.9575
309,69750,-1.9575
311,70200,-1.9575
313,70650,-1.9575
